'410','507','567','783','880','930','1324','1686','2612','2938','2969','3350','3353','4185','4322','4506','5015','5096','5139','5699','5751','5922','6494','6604','6725','7012','7196','7273','7498','8004','8031','8325','8533','8576','8824','8913','9645','9942'
t,,t,,,,,,,,,,t,t,t,t,t,,,t,,,t,,t,t,t,t,,t,,t,t,,,,,t
,t,,,t,,,,,,,,t,t,,,t,,t,t,,t,t,,,t,,,t,,,,,t,t,t,t,t
,t,t,,t,,,,t,,t,t,t,,,t,,t,,t,t,,t,t,t,,t,t,t,t,,,,,t,t,,
,t,t,,,,,,,,,,,,,,,,,,,,,,,,,t,,,t,,t,,,t,,
t,,,t,,,t,,t,,t,t,,t,,t,,,,,,t,t,t,,t,t,t,t,,,,t,t,t,t,t,
,t,,t,,,t,t,,,t,t,t,,t,,,t,t,t,t,,t,t,t,,,,,,,,t,,t,t,,t
,,,t,,,t,,,t,,t,,t,,,t,,t,,t,t,t,t,t,t,,,,t,t,t,t,,t,t,t,
,,,,t,,t,,,,t,,,,,,,,,,,,t,,,,,t,,t,t,,,t,,t,,
,,,,,,,t,,,t,,,,,,,,t,,,,,,,,,,,,t,,,,,,,
t,,t,,t,t,,t,t,t,t,t,,,,,,t,t,,t,,t,,t,,t,t,,,t,t,,t,t,t,t,
t,,,t,t,t,,t,t,,t,t,,,,t,,t,t,t,t,t,t,,,,t,t,t,t,,,,t,t,t,,
t,,t,t,,t,,,,,,,t,,t,,,t,,t,,,t,t,,t,t,,t,,t,,,t,,,t,
t,,,,,t,t,,t,t,,,t,,,,,t,,t,,t,t,,t,,t,,,t,t,,t,,,t,,t
,t,,,t,,,,t,t,,,t,,,t,t,,,t,t,t,t,,,,,,,,,,,,,,,
,t,t,,t,,t,,t,t,,,,t,t,,,t,,,,t,,t,,,,,t,t,t,,,,,t,t,t
t,t,,t,t,t,t,,,,,,,,,t,t,,t,,,,,,t,,,t,,t,t,t,,,t,,,
,t,,t,,,,,t,,,,,,,,,,,,,t,,t,,,,,t,,,,,,t,,,
,,,,,,,t,,,,,,,,,t,t,,t,,,,,,,,,,,,,,,,t,,
t,,,,,t,,t,,,,t,t,,t,,,t,,,,t,t,t,,,,,,,t,t,,t,,,,t
,,,,t,t,t,t,t,,t,,t,t,t,,,,t,t,t,t,t,,t,t,,t,t,,t,t,,,,t,t,t
,,,,,,,,,t,,,,t,,,,t,,,,,,,,,t,,,,t,,t,t,,,,
,t,,,t,t,,,,,,,,,,,,t,,,,,t,,,,,t,,,,,,,,,,
t,t,t,t,t,,,t,,,t,,,t,,,,t,t,t,,,t,,,t,,t,,,,,t,t,t,t,,t
,,t,t,t,,t,t,t,t,t,,,,t,,t,t,,,t,t,t,t,t,,,,t,t,t,,t,t,,,,
,,t,t,,t,,,t,t,,,,,,,,t,t,,,,t,,,t,t,,,t,t,,t,,,,t,
t,t,t,,,t,t,t,t,t,t,,,t,t,t,,t,,t,,t,t,,,t,,t,t,,t,t,,,,,t,t
,,t,t,t,t,t,,t,t,t,,t,t,t,t,t,,,t,,,t,,,,t,t,,t,,,t,t,t,,,
,t,t,t,,t,,,,,t,t,,t,t,,,t,,t,t,t,,,t,,t,t,,,t,,t,t,,t,t,
,,,t,,,,,t,,,,,,t,t,,,,,,,t,t,,t,t,,,,t,,t,,,,,
t,,,,t,,,,t,,,,,,,,,t,,,,,,,,,,,,,,,,,,t,,
,t,t,t,,,t,,,,,t,t,,,t,,,,t,,t,t,t,,t,,t,t,t,t,,,t,,t,,t
,,t,,t,t,t,,t,,,t,,,,t,,,,,t,t,t,,t,t,,t,,t,,t,,,,,,t
t,,,t,,,t,t,t,,t,,,t,,,t,,,,t,t,t,,t,t,t,t,,,,,t,,,,,t
,,t,,t,,,t,,,,t,,t,,,,,,,,,t,t,t,t,,t,t,t,,t,,,,,t,
,t,,,t,,,,t,,,t,t,t,,,,t,,,,t,,t,,t,t,,,,t,,,,t,,,t
t,,t,,,t,t,,,,,,t,,t,t,t,,,t,t,,t,t,t,t,t,,t,,t,,t,,,,,
,,t,t,,t,,,,t,,,,t,,t,,,,t,,,t,,,,,,t,,,,,,,,,
,t,t,t,,,,t,,t,t,t,t,,t,t,,,,,,t,t,t,,,t,t,t,,t,,,,,t,t,t
,,,,t,,,t,,,,t,,t,t,t,t,,,,t,,t,,,t,t,,t,,,t,t,t,t,,t,t
,,,,,,,t,t,,t,,,t,,,t,,,t,,,,,,,,,t,t,,t,,,,,,
t,,t,,t,t,,t,,t,t,,,,,,,,,,,t,,t,,,,t,t,,,,,,t,t,t,
,t,,t,t,t,t,,t,,,,,t,,t,,t,,t,,t,t,t,,,,,,t,t,t,,t,,,t,t
t,t,,,t,,,t,t,,t,,t,t,t,t,,,t,t,t,,t,,t,,,,,,t,,,,t,t,t,
t,t,t,,t,,,,,,t,,t,,t,,,,t,t,,,t,t,,,,t,t,,t,,,t,,,,t
,t,,,,,,t,,,,t,t,,t,,,,,,,,t,t,,t,t,t,,,,t,t,t,,t,,
